id,links
0,https://selo.clearsale.com.br/Loja/ExibirDetalhesLoja/75f2af22-b9ca-4c0e-bd14-513095f19cab
1,https://www.ricardoeletro.com.br/Loja/Audio/Caixa-de-Som-Amplificadora/5669-7371?p=1&Fabricante=&Filtros=&cor=&tamanho=Único:Caixa de Som Amplificadora&precode=&precoate=&ordenacao=0&limit=24&site_id=
2,https://www.ricardoeletro.com.br/Loja/Audio/Caixa-de-Som-Amplificadora/5669-7371?p=1&Fabricante=&Filtros=&cor=Incolor:Caixa de Som Amplificadora&tamanho=&precode=&precoate=&ordenacao=0&limit=24&site_id=
3,https://www.ricardoeletro.com.br/Loja/Beleza-e-Saude/Cuide-de-sua-Saude/1-40?p=1&Fabricante=&Filtros=&cor=&tamanho=ND:Cuide de sua Saúde&precode=&precoate=&ordenacao=0&limit=24&site_id=
4,https://www.ricardoeletro.com.br/Loja/Beleza-e-Saude/Cuide-de-sua-Saude/1-40?p=1&Fabricante=&Filtros=&cor=&tamanho=Único:Cuide de sua Saúde&precode=&precoate=&ordenacao=0&limit=24&site_id=
5,https://www.ricardoeletro.com.br/Loja/Beleza-e-Saude/Cuide-de-sua-Saude/1-40?p=1&Fabricante=&Filtros=&cor=ND:Cuide de sua Saúde&tamanho=&precode=&precoate=&ordenacao=0&limit=24&site_id=
6,https://www.ricardoeletro.com.br/Loja/Brinquedos/Bicicletas/43-103?p=1&Fabricante=&Filtros=&cor=&tamanho=ARO 1:Bicicletas&precode=&precoate=&ordenacao=0&limit=24&site_id=
7,https://www.ricardoeletro.com.br/Loja/Brinquedos/Bicicletas/43-103?p=1&Fabricante=&Filtros=&cor=&tamanho=ARO 2:Bicicletas&precode=&precoate=&ordenacao=0&limit=24&site_id=
8,https://www.ricardoeletro.com.br/Loja/Brinquedos/Bicicletas/43-103?p=1&Fabricante=&Filtros=&cor=Preto Fosco:Bicicletas&tamanho=&precode=&precoate=&ordenacao=0&limit=24&site_id=
9,https://www.ricardoeletro.com.br/Loja/Cama-Mesa-e-Banho/Travesseiro-e-Almofada/2438-2447?p=1&Fabricante=&Filtros=&cor=&tamanho=45cm:Travesseiro e Almofada&precode=&precoate=&ordenacao=0&limit=24&site_id=
10,https://www.ricardoeletro.com.br/Loja/Cama-Mesa-e-Banho/Travesseiro-e-Almofada/2438-2447?p=1&Fabricante=&Filtros=&cor=Arabesco Marsala:Travesseiro e Almofada&tamanho=&precode=&precoate=&ordenacao=0&limit=24&site_id=
