id,links
0,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/dp/B07P6VP569?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=dBS0O&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
1,http://www.amazon.com.br/Kindle-gera%C3%A7%C3%A3o-ilumina%C3%A7%C3%A3o-embutida/dp/B07FPX7SQZ?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=dBS0O&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
2,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Vers%C3%A3o-Global/dp/B07PB8TYCJ?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=dBS0O&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
3,http://www.amazon.com.br/Fire-TV-Stick-Basic-Edition/dp/B01ETRGEIG?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=dBS0O&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
4,http://www.amazon.com.br/Maquininha-Point-Mini-M%C3%A1quina-Mercado/dp/B01M3U3XZR?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=dBS0O&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
5,http://www.amazon.com.br/C%C3%A2mera-Antenas-Vis%C3%A3o-Noturna-Alarme/dp/B07B6GDCQS?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=dBS0O&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
6,http://www.amazon.com.br/Smartphone-Xiaomi-64GB-4GB-Preto/dp/B07VB9MMMW?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=dBS0O&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
7,http://www.amazon.com.br/Inteligente-Mi-Smartwatch-Internacional-Monitoriza%C3%A7%C3%A3o/dp/B07VFMJHPC?pf_rd_p=d2bf91e6-a994-52a1-96d2-6af3c32ff8be&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=eMjDb&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
8,http://www.amazon.com.br/Pel%C3%ADcula-Blindada-Xiaomi-Redmi-Note/dp/B07PS3WSQF?pf_rd_p=d2bf91e6-a994-52a1-96d2-6af3c32ff8be&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=eMjDb&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
9,http://www.amazon.com.br/Pel%C3%ADculas-Protetora-Silicone-para-Xiaomi/dp/B07TCF7CG8?pf_rd_p=d2bf91e6-a994-52a1-96d2-6af3c32ff8be&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=eMjDb&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
10,http://www.amazon.com.br/Antishock-Transparente-XIAOMI-REDMI-NOTE/dp/B07QQCXPLN?pf_rd_p=d2bf91e6-a994-52a1-96d2-6af3c32ff8be&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=eMjDb&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
11,http://www.amazon.com.br/Capa-Anti-Shock-Xiaomi-Redmi/dp/B07QKFKGHJ?pf_rd_p=d2bf91e6-a994-52a1-96d2-6af3c32ff8be&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=eMjDb&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
12,http://www.amazon.com.br/Mem%C3%B3ria-MicroSDXC-Sandisk-A1-Smartphone/dp/B07F5N2SPM?pf_rd_p=d2bf91e6-a994-52a1-96d2-6af3c32ff8be&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=eMjDb&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
13,http://www.amazon.com.br/Smartwatch-Amazfit-Xiaomi-Huami-Internacional/dp/B076WRDKQM?pf_rd_p=d2bf91e6-a994-52a1-96d2-6af3c32ff8be&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=eMjDb&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
14,http://www.amazon.com.br/milagre-manh%C3%A3-Hal-Elrod/dp/8576849941?pf_rd_p=60ab98a3-6ae7-5968-8c00-84709dea2bb4&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=bAxYp&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
15,http://www.amazon.com.br/Fahrenheit-451-Ray-Bradbury/dp/8525052248?pf_rd_p=60ab98a3-6ae7-5968-8c00-84709dea2bb4&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=bAxYp&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
16,http://www.amazon.com.br/segredos-mente-milion%C3%A1ria-Harv-Eker/dp/8575422391?pf_rd_p=60ab98a3-6ae7-5968-8c00-84709dea2bb4&pf_rd_r=QDA1HZJW8TTS7Y7M34BG&pd_rd_wg=d75Bo&ref_=pd_gw_ri&pd_rd_w=bAxYp&pd_rd_r=9dc4d16b-9a21-49e5-8f16-1c18ce740cab
