id,links
0,https://www.ricardoeletro.com.br/Produto/Smartphone-LG-K11-LMX410BCW-Preto-Dual-Chip-Tela-de-53-Camera-de-13MP-Frontal-de-5MP-Octa-Core-15GHz-32GB-3GB-Android-7/44-491-497-827325
1,https://m.ricardoeletro.com.br/Produto/Smartphone-LG-K11-LMX410BCW-Preto-Dual-Chip-Tela-de-53-Camera-de-13MP-Frontal-de-5MP-Octa-Core-15GHz-32GB-3GB-Android-7/44-491-497-827325
2,https://www.ricardoeletro.com.br/Produto/Depurador-4-Bocas-Suggar-60-Cm-Slim-Dupla-Funcao-Preto-DI61PT/256-315-7796-673970?site_id=153
3,https://www.ricardoeletro.com.br/Produto/Depurador-4-Bocas-Suggar-60-Cm-Slim-Dupla-Funcao-Preto-DI61PT/256-315-7796-673970?site_id=153
4,https://www.ricardoeletro.com.br/Produto/Depurador-4-Bocas-Suggar-60-Cm-Slim-Dupla-Funcao-Preto-DI61PT/256-315-7796-673970?site_id=153
5,https://www.ricardoeletro.com.br/Produto/Smartphone-Samsung-Galaxy-J4-Core-SM-J410G-Preto-Dual-Chip-Tela-de-6-Camera-de-8MP-Frontal-de-5MP-Quad-Core-14GHz-16GB-1GB-Android-81/44-491-496-833081?site_id=133
6,https://www.ricardoeletro.com.br/Produto/Smartphone-Samsung-Galaxy-J4-Core-SM-J410G-Preto-Dual-Chip-Tela-de-6-Camera-de-8MP-Frontal-de-5MP-Quad-Core-14GHz-16GB-1GB-Android-81/44-491-496-833081?site_id=133
7,https://www.ricardoeletro.com.br/Produto/Smartphone-Samsung-Galaxy-J4-Core-SM-J410G-Preto-Dual-Chip-Tela-de-6-Camera-de-8MP-Frontal-de-5MP-Quad-Core-14GHz-16GB-1GB-Android-81/44-491-496-833081?site_id=133
8,https://www.ricardoeletro.com.br/Produto/Smartphone-Motorola-Moto-G7-Play-XT1952-2-Indigo-Dual-Chip-4G-Tela-de-57-Camera-13MP-Frontal-8MP-Octa-Core-18-GHz-32GB-2GB-RAM-Android-9/44-491-494-836964?site_id=133
9,https://www.ricardoeletro.com.br/Produto/Smartphone-Motorola-Moto-G7-Play-XT1952-2-Indigo-Dual-Chip-4G-Tela-de-57-Camera-13MP-Frontal-8MP-Octa-Core-18-GHz-32GB-2GB-RAM-Android-9/44-491-494-836964?site_id=133
10,https://www.ricardoeletro.com.br/Produto/Smartphone-Motorola-Moto-G7-Play-XT1952-2-Indigo-Dual-Chip-4G-Tela-de-57-Camera-13MP-Frontal-8MP-Octa-Core-18-GHz-32GB-2GB-RAM-Android-9/44-491-494-836964?site_id=133
11,https://www.ricardoeletro.com.br/Produto/Smartphone-LG-K9-LMX210BMW-Azul-Dual-Chip-Tela-de-50-Camera-de-8MP-Frontal-de-5MP-Quad-Core-13GHz-16GB-2GB-Android-71/44-491-497-779298?site_id=193
12,https://www.ricardoeletro.com.br/Produto/Smartphone-LG-K9-LMX210BMW-Azul-Dual-Chip-Tela-de-50-Camera-de-8MP-Frontal-de-5MP-Quad-Core-13GHz-16GB-2GB-Android-71/44-491-497-779298?site_id=193
13,https://www.ricardoeletro.com.br/Produto/Smartphone-LG-K9-LMX210BMW-Azul-Dual-Chip-Tela-de-50-Camera-de-8MP-Frontal-de-5MP-Quad-Core-13GHz-16GB-2GB-Android-71/44-491-497-779298?site_id=193
14,https://www.ricardoeletro.com.br/Produto/Smart-TV-Panasonic-40-LED-Full-HD-TC-40FS600B-Preto-Bluetooth-Espelhamento-de-Tela-Ultra-VIVID/108-4370-4373-808349?site_id=192
15,https://www.ricardoeletro.com.br/Produto/Smart-TV-Panasonic-40-LED-Full-HD-TC-40FS600B-Preto-Bluetooth-Espelhamento-de-Tela-Ultra-VIVID/108-4370-4373-808349?site_id=192
16,https://www.ricardoeletro.com.br/Produto/Smart-TV-Panasonic-40-LED-Full-HD-TC-40FS600B-Preto-Bluetooth-Espelhamento-de-Tela-Ultra-VIVID/108-4370-4373-808349?site_id=192
17,https://www.ricardoeletro.com.br/Produto/Ventilador-de-Mesa-Oscilante-Turbo-6-40cm-80W-de-Potencia-6-Pas-e-3-Velocidades-Preto-Premium-Ventisol/258-618-625-552751?site_id=183
18,https://www.ricardoeletro.com.br/Produto/Ventilador-de-Mesa-Oscilante-Turbo-6-40cm-80W-de-Potencia-6-Pas-e-3-Velocidades-Preto-Premium-Ventisol/258-618-625-552751?site_id=183
19,https://www.ricardoeletro.com.br/Produto/Ventilador-de-Mesa-Oscilante-Turbo-6-40cm-80W-de-Potencia-6-Pas-e-3-Velocidades-Preto-Premium-Ventisol/258-618-625-552751?site_id=183
20,https://www.ricardoeletro.com.br/Produto/Notebook-Legacy-Windows-10-4Gb-64Gb-32Gb-32Gb-Tela-HD-141-Pol-Intel-Dual-Core-Cinza-Multilaser-PC230-PC230/49-82-4698-863972?site_id=141
21,https://www.ricardoeletro.com.br/Produto/Notebook-Legacy-Windows-10-4Gb-64Gb-32Gb-32Gb-Tela-HD-141-Pol-Intel-Dual-Core-Cinza-Multilaser-PC230-PC230/49-82-4698-863972?site_id=141
22,https://www.ricardoeletro.com.br/Produto/Notebook-Legacy-Windows-10-4Gb-64Gb-32Gb-32Gb-Tela-HD-141-Pol-Intel-Dual-Core-Cinza-Multilaser-PC230-PC230/49-82-4698-863972?site_id=141
23,https://www.ricardoeletro.com.br/Produto/Tablet-Mirage-45T-Quad-Core-7-Pol-Android-81-Wi-fi-Bluetooth-1GB-16GB-Frontal-13MP-2014/2935-2936-5014-887044?site_id=141
24,https://www.ricardoeletro.com.br/Produto/Tablet-Mirage-45T-Quad-Core-7-Pol-Android-81-Wi-fi-Bluetooth-1GB-16GB-Frontal-13MP-2014/2935-2936-5014-887044?site_id=141
25,https://www.ricardoeletro.com.br/Produto/Tablet-Mirage-45T-Quad-Core-7-Pol-Android-81-Wi-fi-Bluetooth-1GB-16GB-Frontal-13MP-2014/2935-2936-5014-887044?site_id=141
26,https://www.ricardoeletro.com.br/Produto/Notebook-Lenovo-Intel-Core-I5-8GB-1TB-Tela-156-Windows-10-Ideapad-330-81FE0002BR/49-82-4698-863422?site_id=133
27,https://www.ricardoeletro.com.br/Produto/Notebook-Lenovo-Intel-Core-I5-8GB-1TB-Tela-156-Windows-10-Ideapad-330-81FE0002BR/49-82-4698-863422?site_id=133
28,https://www.ricardoeletro.com.br/Produto/Notebook-Lenovo-Intel-Core-I5-8GB-1TB-Tela-156-Windows-10-Ideapad-330-81FE0002BR/49-82-4698-863422?site_id=133
29,https://www.ricardoeletro.com.br/Produto/Smartphone-LG-K11-LMX410BCW-Preto-Dual-Chip-Tela-de-53-Camera-de-13MP-Frontal-de-5MP-Octa-Core-15GHz-32GB-3GB-Android-7/44-491-497-827325
30,https://m.ricardoeletro.com.br/Produto/Smartphone-LG-K11-LMX410BCW-Preto-Dual-Chip-Tela-de-53-Camera-de-13MP-Frontal-de-5MP-Octa-Core-15GHz-32GB-3GB-Android-7/44-491-497-827325
31,https://www.ricardoeletro.com.br/Produto/Depurador-4-Bocas-Suggar-60-Cm-Slim-Dupla-Funcao-Preto-DI61PT/256-315-7796-673970?site_id=153
32,https://www.ricardoeletro.com.br/Produto/Depurador-4-Bocas-Suggar-60-Cm-Slim-Dupla-Funcao-Preto-DI61PT/256-315-7796-673970?site_id=153
33,https://www.ricardoeletro.com.br/Produto/Depurador-4-Bocas-Suggar-60-Cm-Slim-Dupla-Funcao-Preto-DI61PT/256-315-7796-673970?site_id=153
