id,links
0,http://www.magazineluiza.com.br/javascript: void(0);
1,http://www.magazineluiza.com.br/javascript: void(0);
2,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Delmiro gouveia&state=AL
3,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Palmeira dos indios&state=AL
4,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Rio largo&state=AL
5,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Santana do ipanema&state=AL
6,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Sao miguel dos campos&state=AL
7,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Teotonio vilela&state=AL
8,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Uniao dos palmares&state=AL
9,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Bom jesus da lapa&state=BA
10,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Campo formoso&state=BA
11,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Conceicao do coite&state=BA
12,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Cruz das almas&state=BA
13,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Dias davila&state=BA
14,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Euclides da cunha&state=BA
15,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Feira de santana&state=BA
16,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Lauro de freitas&state=BA
17,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Luis eduardo magalhaes&state=BA
18,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Paulo afonso&state=BA
19,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Porto seguro&state=BA
20,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Ribeira do pombal&state=BA
21,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Santo amaro&state=BA
22,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Santo antonio de jesus&state=BA
23,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Santo estevao&state=BA
24,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Senhor do bonfim&state=BA
25,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Simoes filho&state=BA
26,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Teixeira de freitas&state=BA
27,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Vitoria da conquista&state=BA
28,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Brejo santo&state=CE
29,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Juazeiro do norte&state=CE
30,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Aguas lindas de goias&state=GO
31,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Aparecida de goiania&state=GO
32,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Caldas novas&state=GO
33,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Novo gama&state=GO
34,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Rio verde&state=GO
35,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Santa helena de goias&state=GO
36,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Senador canedo&state=GO
37,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Valparaiso de goias&state=GO
38,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Barra do corda&state=MA
39,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Itapecuru mirim&state=MA
40,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Presidente dutra&state=MA
41,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Santa ines&state=MA
42,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Santa luzia&state=MA
43,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Sao jose de ribamar&state=MA
44,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Sao luis&state=MA
45,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Sao mateus do maranhao&state=MA
46,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Alta floresta&state=MT
47,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Barra do garcas&state=MT
48,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Campo novo do parecis&state=MT
49,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Campo verde&state=MT
50,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Guaranta do norte&state=MT
51,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Lucas do rio verde&state=MT
52,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Mirassol doeste&state=MT
53,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Peixoto de azevedo&state=MT
54,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Tangara da serra&state=MT
55,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Varzea grande&state=MT
56,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Aparecida do taboado&state=MS
57,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Campo grande&state=MS
58,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Nova andradina&state=MS
59,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Ponta pora&state=MS
60,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Tres lagoas&state=MS
61,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Belo horizonte&state=MG
62,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Boa esperanca&state=MG
63,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Brasilia de minas&state=MG
64,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Campo belo&state=MG
65,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Carmo do paranaiba&state=MG
66,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Conceicao das alagoas&state=MG
67,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Conselheiro lafaiete&state=MG
68,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Coronel fabriciano&state=MG
69,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Governador valadares&state=MG
70,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Itau de minas&state=MG
71,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Joao monlevade&state=MG
72,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Joao pinheiro&state=MG
73,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Juiz de fora&state=MG
74,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Lagoa da prata&state=MG
75,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Lagoa santa&state=MG
76,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Mateus leme&state=MG
77,http://www.magazineluiza.com.br/nossas-lojas/busca/?city=Monte carmelo&state=MG
