id,links
0,/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fwww.primevideo.com%2F%3Fref_%3Ddvm_crs_gat_br_ra_s_gw_dashcard&source=standards&token=810D0F07D02A8515A1F8EF66F35735ED549B0DE2&pf_rd_p=9a7dc799-5375-4793-ba84-a7c91378fa0f&pf_rd_r=QDA1HZJW8TTS7Y7M34BG
1,/ap/cnep/143-3024082-0247646?_encoding=UTF8&openid.assoc_handle=brflex&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.mode=checkid_setup&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com.mx%2Fgp%2Fcss%2Fhomepage.html%3F%20%20ie%3DUTF8%26ref_%3Dya_cnep&ref_=hp_ss_v3_as_t4
2,/preferences/sub-action?entityID=61686169&entityType=SUBSCRIPTION_LIST_ID&topics=MARKETING_SUBSCRIPTION&shouldSendConfirmationEmail=true&channels=EMAIL&csrfToken=gqCqrFRXqXSr7XVjQ671MREjnGR4oyrBjVbXGU0AAAAJAAAAAF2S5kByYXcAAAAAFVfwLBerPie4v1Ep%2F%2F%2F%2F&action=sub&redirectUrl=https%3A%2F%2Fwww.amazon.com.br%2Fb%3Fnode%3D16957125011
3,http://www.amazon.com.br/gp/goldbox/uedata/unsticky/131-5873081-5004843/GoldBox/ntpoffrw?tepes=1&id=HFGQDYBMRVHCRSC552FE
4,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0AAbsorvente%20M%C3%A9dio%20Plenitud%2C%20Femme%2C%2014%20unidades%0Apor%20Amazon.com.br%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB07FTYTR7J%2Fref%3Dcm_sw_em_r_mt_dp_U_iFUKDbH4WTRSY&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
5,/gp/redirect.html/ref=cm_sw_cl_fa_dp_U_iFUKDbH4WTRSY?_encoding=UTF8&location=https%3A%2F%2Fwww.facebook.com%2Fdialog%2Fshare%3F_encoding%3DUTF8%26display%3Dpopup%26href%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07FTYTR7J%252Fref%253Dcm_sw_r_fa_dp_U_iFUKDbH4WTRSY%26redirect_uri%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fgp%252Fpdp%252Ftaf%252Ffb_post_redirect.html%252Fref%253Dcm_sw_s_fa_dp_U_iFUKDbH4WTRSY%26app_id%3D164734381262%26hashtag%3D%2523Amazon&token=3B29FF2CCEE1017C02528F80DF7B1249B37720AA
6,/gp/redirect.html/ref=cm_sw_cl_tw_dp_U_iFUKDbH4WTRSY?_encoding=UTF8&location=https%3A%2F%2Ftwitter.com%2Fintent%2Ftweet%3Foriginal_referer%3Dhttps%25253A%25252F%25252Fwww.amazon.com.br%25252Fgp%25252Fproduct%25252FB07FTYTR7J%25252Fref%25253Dcm_sw_r_tw_dp_U_x_iFUKDbH4WTRSY%26text%3DAbsorvente%2520M%25C3%25A9dio%2520Plenitud%252C%2520Femme%252C%252014%2520unidades%2520Plenitud%26related%3Damazondeals%252Camazonmp3%26url%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07FTYTR7J%252Fref%253Dcm_sw_r_tw_dp_U_x_iFUKDbH4WTRSY%26via%3DamazonBR&token=2AE4F134F784625B8FD1DA303AEFD9BEE96FEE65
7,/gp/redirect.html/ref=cm_sw_cl_pi_dp_U_iFUKDbH4WTRSY?_encoding=UTF8&location=https%3A%2F%2Fpinterest.com%2Fpin%2Fcreate%2Fbutton%3Furl%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07FTYTR7J%252Fref%253Dcm_sw_r_pi_dp_U_x_iFUKDbH4WTRSY%26title%3DAbsorvente%2520M%25C3%25A9dio%2520Plenitud%252C%2520Femme%252C%252014%2520unidades%2520Plenitud%26description%3DAbsorvente%2520M%25C3%25A9dio%2520Plenitud%252C%2520Femme%252C%252014%2520unidades%2520Plenitud%2520https%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07FTYTR7J%252Fref%253Dcm_sw_r_pi_dp_U_x_iFUKDbH4WTRSY%26media%3Dhttps%253A%252F%252Fimages-na.ssl-images-amazon.com%252Fimages%252FI%252F41%25252BcX-z1tfL.jpg&token=E17E35090E068A8F6B69356526A209822F7573AB
8,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0ASaboneteL%C3%ADquido%20Skin%20Relief%20Camomila%20Aveeno%20354%20ml%0Apor%20Amazon.com.br%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB0789V3GTW%2Fref%3Dcm_sw_em_r_mt_dp_U_XFUKDb8YFS8R6&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
9,/gp/redirect.html/ref=cm_sw_cl_fa_dp_U_XFUKDb8YFS8R6?_encoding=UTF8&location=https%3A%2F%2Fwww.facebook.com%2Fdialog%2Fshare%3F_encoding%3DUTF8%26display%3Dpopup%26href%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB0789V3GTW%252Fref%253Dcm_sw_r_fa_dp_U_XFUKDb8YFS8R6%26redirect_uri%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fgp%252Fpdp%252Ftaf%252Ffb_post_redirect.html%252Fref%253Dcm_sw_s_fa_dp_U_XFUKDb8YFS8R6%26app_id%3D164734381262%26hashtag%3D%2523Amazon&token=357D7638FEC3EF6F47203C17E9A1BC5E78C30B46
10,/gp/redirect.html/ref=cm_sw_cl_tw_dp_U_XFUKDb8YFS8R6?_encoding=UTF8&location=https%3A%2F%2Ftwitter.com%2Fintent%2Ftweet%3Foriginal_referer%3Dhttps%25253A%25252F%25252Fwww.amazon.com.br%25252Fgp%25252Fproduct%25252FB0789V3GTW%25252Fref%25253Dcm_sw_r_tw_dp_U_x_XFUKDb8YFS8R6%26text%3DSaboneteL%25C3%25ADquido%2520Skin%2520Relief%2520Camomila%2520Aveeno%2520354%2520ml%2520Aveeno%26related%3Damazondeals%252Camazonmp3%26url%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB0789V3GTW%252Fref%253Dcm_sw_r_tw_dp_U_x_XFUKDb8YFS8R6%26via%3DamazonBR&token=1E2D86C13BF7E335DF92049AC28DDC5974A404BF
11,/gp/redirect.html/ref=cm_sw_cl_pi_dp_U_XFUKDb8YFS8R6?_encoding=UTF8&location=https%3A%2F%2Fpinterest.com%2Fpin%2Fcreate%2Fbutton%3Furl%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB0789V3GTW%252Fref%253Dcm_sw_r_pi_dp_U_x_XFUKDb8YFS8R6%26title%3DSaboneteL%25C3%25ADquido%2520Skin%2520Relief%2520Camomila%2520Aveeno%2520354%2520ml%2520Aveeno%26description%3DSaboneteL%25C3%25ADquido%2520Skin%2520Relief%2520Camomila%2520Aveeno%2520354%2520ml%2520Aveeno%2520https%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB0789V3GTW%252Fref%253Dcm_sw_r_pi_dp_U_x_XFUKDb8YFS8R6%26media%3Dhttps%253A%252F%252Fimages-na.ssl-images-amazon.com%252Fimages%252FI%252F412fYRzgMPL.jpg&token=9139DEF25B666E791575116AC4A1C2EF59AA6E1D
12,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0AO%20feminismo%20%C3%A9%20para%20todo%20mundo%3A%20Pol%C3%ADticas%20arrebatadoras%0Apor%20Amazon%20Servicos%20de%20Varejo%20do%20Brasil%20Ltda%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB07J161JF6%2Fref%3Dcm_sw_em_r_mt_dp_U_xGUKDbRTWRAPD&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
13,/gp/redirect.html/ref=cm_sw_cl_fa_dp_U_xGUKDbRTWRAPD?_encoding=UTF8&location=https%3A%2F%2Fwww.facebook.com%2Fdialog%2Fshare%3F_encoding%3DUTF8%26display%3Dpopup%26href%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07J161JF6%252Fref%253Dcm_sw_r_fa_dp_U_xGUKDbRTWRAPD%26redirect_uri%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fgp%252Fpdp%252Ftaf%252Ffb_post_redirect.html%252Fref%253Dcm_sw_s_fa_dp_U_xGUKDbRTWRAPD%26app_id%3D164734381262%26hashtag%3D%2523Amazon&token=C9E9208882EC46590E5849A199DAEB531EB32652
