id,links
0,/gp/redirect.html?location=http://amazon.com.br/music/prime&token=0F69BC196495C0306B1349E33AB616D988BAFEE0&source=standards&pf_rd_p=585b2edf-5872-4a90-ac93-d0585f673c34&pf_rd_r=TV4JZXCCD1X6FMAKE8D2
1,/gp/redirect.html?location=https://twitch.amazon.com/tp&token=2E031E089C97810FAF6A486B92DE1BAF5811B527&source=standards&pf_rd_p=585b2edf-5872-4a90-ac93-d0585f673c34&pf_rd_r=TV4JZXCCD1X6FMAKE8D2
2,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0ASmartphone%20Xiaomi%20Redmi%20Note%207%2064GB%204GB%20RAM%20Preto%0Apor%20Qualidade%20A%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB07P6VP569%2Fref%3Dcm_sw_em_r_mt_dp_U_qJmKDbDJ6WRMB&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
3,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0ASmartphone%20Xiaomi%20Redmi%20Note%207%2064GB%204GB%20RAM%20Preto%0Apor%20Qualidade%20A%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB07P6VP569%2Fref%3Dcm_sw_em_r_mt_dp_U_qJmKDbDJ6WRMB&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
4,/gp/redirect.html/ref=cm_sw_cl_fa_dp_U_qJmKDbDJ6WRMB?_encoding=UTF8&location=https%3A%2F%2Fwww.facebook.com%2Fdialog%2Fshare%3F_encoding%3DUTF8%26display%3Dpopup%26href%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07P6VP569%252Fref%253Dcm_sw_r_fa_dp_U_qJmKDbDJ6WRMB%26redirect_uri%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fgp%252Fpdp%252Ftaf%252Ffb_post_redirect.html%252Fref%253Dcm_sw_s_fa_dp_U_qJmKDbDJ6WRMB%26app_id%3D164734381262%26hashtag%3D%2523Amazon&token=6F0920189F23B42F351B29D322BBCF10523DF64F
5,/gp/redirect.html/ref=cm_sw_cl_tw_dp_U_qJmKDbDJ6WRMB?_encoding=UTF8&location=https%3A%2F%2Ftwitter.com%2Fintent%2Ftweet%3Foriginal_referer%3Dhttps%25253A%25252F%25252Fwww.amazon.com.br%25252Fgp%25252Fproduct%25252FB07P6VP569%25252Fref%25253Dcm_sw_r_tw_dp_U_x_qJmKDbDJ6WRMB%26text%3DSmartphone%2520Xiaomi%2520Redmi%2520Note%25207%252064GB%25204GB%2520RAM%2520Preto%2520Xiaomi%26related%3Damazondeals%252Camazonmp3%26url%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07P6VP569%252Fref%253Dcm_sw_r_tw_dp_U_x_qJmKDbDJ6WRMB%26via%3DamazonBR&token=83A4195B52248E37B9526D451DB435B9AE7DAC06
6,/gp/redirect.html/ref=cm_sw_cl_pi_dp_U_qJmKDbDJ6WRMB?_encoding=UTF8&location=https%3A%2F%2Fpinterest.com%2Fpin%2Fcreate%2Fbutton%3Furl%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07P6VP569%252Fref%253Dcm_sw_r_pi_dp_U_x_qJmKDbDJ6WRMB%26title%3DSmartphone%2520Xiaomi%2520Redmi%2520Note%25207%252064GB%25204GB%2520RAM%2520Preto%2520Xiaomi%26description%3DSmartphone%2520Xiaomi%2520Redmi%2520Note%25207%252064GB%25204GB%2520RAM%2520Preto%2520Xiaomi%2520https%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07P6VP569%252Fref%253Dcm_sw_r_pi_dp_U_x_qJmKDbDJ6WRMB%26media%3Dhttps%253A%252F%252Fimages-na.ssl-images-amazon.com%252Fimages%252FI%252F41p4L2%25252B1aHL.jpg&token=DDF8324619BFC7903B03CBD24F33FC7CC5900C27
7,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0ACelular%2C%20Xiaomi%2C%20Redmi%20Note%207%2C%204GB%20RAM%2C%2064GB%2C%20Vers%C3%A3o%20Global%2C%206.3%22%2C%20Azul%0Apor%20CHINA%20BR%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB07PB8TYCJ%2Fref%3Dcm_sw_em_r_mt_dp_U_uJmKDbT0GPWJP&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
8,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0ACelular%2C%20Xiaomi%2C%20Redmi%20Note%207%2C%204GB%20RAM%2C%2064GB%2C%20Vers%C3%A3o%20Global%2C%206.3%22%2C%20Azul%0Apor%20CHINA%20BR%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB07PB8TYCJ%2Fref%3Dcm_sw_em_r_mt_dp_U_uJmKDbT0GPWJP&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
9,/gp/redirect.html/ref=cm_sw_cl_fa_dp_U_uJmKDbT0GPWJP?_encoding=UTF8&location=https%3A%2F%2Fwww.facebook.com%2Fdialog%2Fshare%3F_encoding%3DUTF8%26display%3Dpopup%26href%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07PB8TYCJ%252Fref%253Dcm_sw_r_fa_dp_U_uJmKDbT0GPWJP%26redirect_uri%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fgp%252Fpdp%252Ftaf%252Ffb_post_redirect.html%252Fref%253Dcm_sw_s_fa_dp_U_uJmKDbT0GPWJP%26app_id%3D164734381262%26hashtag%3D%2523Amazon&token=AB921424BC8616343DD6B76E98EC3065C4E8C518
10,/gp/redirect.html/ref=cm_sw_cl_tw_dp_U_uJmKDbT0GPWJP?_encoding=UTF8&location=https%3A%2F%2Ftwitter.com%2Fintent%2Ftweet%3Foriginal_referer%3Dhttps%25253A%25252F%25252Fwww.amazon.com.br%25252Fgp%25252Fproduct%25252FB07PB8TYCJ%25252Fref%25253Dcm_sw_r_tw_dp_U_x_uJmKDbT0GPWJP%26text%3DCelular%252C%2520Xiaomi%252C%2520Redmi%2520Note%25207%252C%25204GB%2520RAM%252C%252064GB%252C%2520Vers%25C3%25A3o%2520Global%252C%25206.3%2522%252C%2520Azul%2520Xia...%26related%3Damazondeals%252Camazonmp3%26url%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07PB8TYCJ%252Fref%253Dcm_sw_r_tw_dp_U_x_uJmKDbT0GPWJP%26via%3DamazonBR&token=F1D6998B7962FC8DAAC9B2AFC3B44D2B642C2F4F
11,/gp/redirect.html/ref=cm_sw_cl_pi_dp_U_uJmKDbT0GPWJP?_encoding=UTF8&location=https%3A%2F%2Fpinterest.com%2Fpin%2Fcreate%2Fbutton%3Furl%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07PB8TYCJ%252Fref%253Dcm_sw_r_pi_dp_U_x_uJmKDbT0GPWJP%26title%3DCelular%252C%2520Xiaomi%252C%2520Redmi%2520Note%25207%252C%25204GB%2520RAM%252C%252064GB%252C%2520Vers%25C3%25A3o%2520Glob...%26description%3DCelular%252C%2520Xiaomi%252C%2520Redmi%2520Note%25207%252C%25204GB%2520RAM%252C%252064GB%252C%2520Vers%25C3%25A3o%2520Glob...%2520https%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07PB8TYCJ%252Fref%253Dcm_sw_r_pi_dp_U_x_uJmKDbT0GPWJP%26media%3Dhttps%253A%252F%252Fimages-na.ssl-images-amazon.com%252Fimages%252FI%252F51bu72rH4FL.jpg&token=1848E94642ECEF00B59CBAA6F46D7717A93AC375
12,/gp/redirect.html/ref=s9_acss_bw_cg_consuce_1a1_w?location=https://www.amazon.com.br/prime&pf_rd_m=A3RN7G7QC5MWSZ&pf_rd_s=merchandised-search-6&pf_rd_r=KG18C9S7V46VKAVJG2WA&pf_rd_t=101&pf_rd_p=5046b81b-9213-4828-bcc6-a86a55dafb5d&pf_rd_i=16243803011
13,/gp/redirect.html/ref=s9_acss_bw_cg_consuce_1a1_w?location=https://www.amazon.com.br/prime&pf_rd_m=A3RN7G7QC5MWSZ&pf_rd_s=merchandised-search-6&pf_rd_r=WJS94AVKSRJC7758TD9K&pf_rd_t=101&pf_rd_p=5046b81b-9213-4828-bcc6-a86a55dafb5d&pf_rd_i=16243803011
14,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0ASmartphone%20Xiaomi%20Redmi%20Note%207%2064GB%204GB%20RAM%20Azul%0Apor%20Vendas%2045%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB07Q8Y75XH%2Fref%3Dcm_sw_em_r_mt_dp_U_IJmKDbBV7CH2E&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
15,mailto:?body=Quero%20recomendar%20este%20produto%20na%20Amazon.com%0A%0ASmartphone%20Xiaomi%20Redmi%20Note%207%2064GB%204GB%20RAM%20Azul%0Apor%20Vendas%2045%0ASaiba%20mais%3A%20https%3A%2F%2Fwww.amazon.com.br%2Fdp%2FB07Q8Y75XH%2Fref%3Dcm_sw_em_r_mt_dp_U_IJmKDbBV7CH2E&subject=Quero%20recomendar%20este%20produto%20na%20Amazon
16,/gp/redirect.html/ref=cm_sw_cl_fa_dp_U_IJmKDbBV7CH2E?_encoding=UTF8&location=https%3A%2F%2Fwww.facebook.com%2Fdialog%2Fshare%3F_encoding%3DUTF8%26display%3Dpopup%26href%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fdp%252FB07Q8Y75XH%252Fref%253Dcm_sw_r_fa_dp_U_IJmKDbBV7CH2E%26redirect_uri%3Dhttps%253A%252F%252Fwww.amazon.com.br%252Fgp%252Fpdp%252Ftaf%252Ffb_post_redirect.html%252Fref%253Dcm_sw_s_fa_dp_U_IJmKDbBV7CH2E%26app_id%3D164734381262%26hashtag%3D%2523Amazon&token=75DEF63FADE336F0966AB2BA43ECC5969F213443
