id,links
0,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/dp/B07P6VP569?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=TV4JZXCCD1X6FMAKE8D2&pd_rd_wg=haw5o&ref_=pd_gw_ri&pd_rd_w=ojRtO&pd_rd_r=133ddf60-5166-4f6d-9771-7f9483ee3751
1,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Vers%C3%A3o-Global/dp/B07PB8TYCJ?pf_rd_p=205a3d05-675d-5511-bf4a-e859872f2cf6&pf_rd_r=TV4JZXCCD1X6FMAKE8D2&pd_rd_wg=haw5o&ref_=pd_gw_ri&pd_rd_w=ojRtO&pd_rd_r=133ddf60-5166-4f6d-9771-7f9483ee3751
2,https://www.amazon.com.br/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com.br%2FSmartphone-Xiaomi-Redmi-Note-Preto%2Fdp%2FB07P6VP569%3Fpf_rd_p%3D205a3d05-675d-5511-bf4a-e859872f2cf6%26pf_rd_r%3DTV4JZXCCD1X6FMAKE8D2%26pd_rd_wg%3Dhaw5o%26ref_%3Dnav_ya_signin%26pd_rd_w%3DojRtO%26pd_rd_r%3D133ddf60-5166-4f6d-9771-7f9483ee3751%26_encoding%3DUTF8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=brflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&
3,http://www.amazon.com.br/Celulares-Comunicacao/b/?ie=UTF8&node=16243803011&ref_=topnav_storetab_b
4,http://www.amazon.com.br/Celulares-Desbloqueados/b/?ie=UTF8&node=16243890011&ref_=sv_b_3
5,http://www.amazon.com.br/Celulares-Usados/b/?ie=UTF8&node=17021614011&ref_=sv_b_8
6,http://www.amazon.com.br/Celulares-Telefonia/b/ref=dp_bc_aui_C_2/134-9419318-8095024?ie=UTF8&node=16243803011
7,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-64GB/dp/B07Q8Y75XH/ref=pd_sbs_107_1/134-9419318-8095024?_encoding=UTF8&pd_rd_i=B07Q8Y75XH&pd_rd_r=b44d1f68-9f8c-4ea3-b89e-53abad0cf2d8&pd_rd_w=rZlIO&pd_rd_wg=AmmbB&pf_rd_p=80c6065d-57d3-41bf-b15e-ee01dd80424f&pf_rd_r=DZJN63WVRMMFB8997KJT&psc=1&refRID=DZJN63WVRMMFB8997KJT
8,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/dp/B07RWZ4JKP/ref=pd_sbs_107_4/134-9419318-8095024?_encoding=UTF8&pd_rd_i=B07RWZ4JKP&pd_rd_r=b44d1f68-9f8c-4ea3-b89e-53abad0cf2d8&pd_rd_w=rZlIO&pd_rd_wg=AmmbB&pf_rd_p=80c6065d-57d3-41bf-b15e-ee01dd80424f&pf_rd_r=DZJN63WVRMMFB8997KJT&psc=1&refRID=DZJN63WVRMMFB8997KJT
9,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Lite-Preto/dp/B07JMPGNHK/ref=pd_sbs_107_5/134-9419318-8095024?_encoding=UTF8&pd_rd_i=B07JMPGNHK&pd_rd_r=b44d1f68-9f8c-4ea3-b89e-53abad0cf2d8&pd_rd_w=rZlIO&pd_rd_wg=AmmbB&pf_rd_p=80c6065d-57d3-41bf-b15e-ee01dd80424f&pf_rd_r=DZJN63WVRMMFB8997KJT&psc=1&refRID=DZJN63WVRMMFB8997KJT
10,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Branco/dp/B07W53QJ3Z/ref=pd_sbs_107_6/134-9419318-8095024?_encoding=UTF8&pd_rd_i=B07W53QJ3Z&pd_rd_r=b44d1f68-9f8c-4ea3-b89e-53abad0cf2d8&pd_rd_w=rZlIO&pd_rd_wg=AmmbB&pf_rd_p=80c6065d-57d3-41bf-b15e-ee01dd80424f&pf_rd_r=DZJN63WVRMMFB8997KJT&psc=1&refRID=DZJN63WVRMMFB8997KJT
11,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-64GB/dp/B07Q8Y75XH/ref=pd_cp_107_1/134-9419318-8095024?_encoding=UTF8&pd_rd_i=B07Q8Y75XH&pd_rd_r=b44d1f68-9f8c-4ea3-b89e-53abad0cf2d8&pd_rd_w=BEBnx&pd_rd_wg=AmmbB&pf_rd_p=77453d05-f992-4c68-90bd-4bd32fc86a60&pf_rd_r=DZJN63WVRMMFB8997KJT&psc=1&refRID=DZJN63WVRMMFB8997KJT
12,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_0?ie=UTF8&filterByKeyword=custo+benef%C3%ADcio&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
13,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_1?ie=UTF8&filterByKeyword=redmi+note&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
14,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_2?ie=UTF8&filterByKeyword=antes+do+prazo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
15,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_3?ie=UTF8&filterByKeyword=bateria+dura&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
16,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_4?ie=UTF8&filterByKeyword=bem+embalado&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
17,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_5?ie=UTF8&filterByKeyword=melhor+custo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
18,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_6?ie=UTF8&filterByKeyword=vale+a+pena&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
19,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_7?ie=UTF8&filterByKeyword=custo+beneficio&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
20,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_8?ie=UTF8&filterByKeyword=chegou+antes&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
21,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_9?ie=UTF8&filterByKeyword=%C3%B3timo+custo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
22,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_10?ie=UTF8&filterByKeyword=entrega+r%C3%A1pida&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
23,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_11?ie=UTF8&filterByKeyword=super+r%C3%A1pido&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
24,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_12?ie=UTF8&filterByKeyword=c%C3%A2mera+muito+boa&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
25,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_13?ie=UTF8&filterByKeyword=dura+o+dia&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
26,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_14?ie=UTF8&filterByKeyword=superou+minhas+expectativas&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
27,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_15?ie=UTF8&filterByKeyword=fone+de+ouvido&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
28,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_16?ie=UTF8&filterByKeyword=dura%C3%A7%C3%A3o+da+bateria&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
29,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_17?ie=UTF8&filterByKeyword=super+recomendo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
30,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_18?ie=UTF8&filterByKeyword=%C3%B3timo+celular&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
31,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_lh_19?ie=UTF8&filterByKeyword=ponto+negativo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
32,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/product-reviews/B07P6VP569/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
33,https://www.amazon.com.br/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com.br%2FCelular-Xiaomi-Redmi-Vers%25C3%25A3o-Global%2Fdp%2FB07PB8TYCJ%3Fpf_rd_p%3D205a3d05-675d-5511-bf4a-e859872f2cf6%26pf_rd_r%3DTV4JZXCCD1X6FMAKE8D2%26pd_rd_wg%3Dhaw5o%26ref_%3Dnav_ya_signin%26pd_rd_w%3DojRtO%26pd_rd_r%3D133ddf60-5166-4f6d-9771-7f9483ee3751%26_encoding%3DUTF8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=brflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&
34,http://www.amazon.com.br/Celulares-Telefonia/b/ref=dp_bc_aui_C_2/139-8275970-6741361?ie=UTF8&node=16243803011
35,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-64GB/dp/B07Q8Y75XH/ref=pd_sbs_107_1/139-8275970-6741361?_encoding=UTF8&pd_rd_i=B07Q8Y75XH&pd_rd_r=92795040-b345-4125-a017-cde0504d81ba&pd_rd_w=jOFFw&pd_rd_wg=Ju1oY&pf_rd_p=80c6065d-57d3-41bf-b15e-ee01dd80424f&pf_rd_r=TS0TG1PDW4J9P183BJ58&psc=1&refRID=TS0TG1PDW4J9P183BJ58
36,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Camera-Dupla/dp/B07RV5RJ2Q/ref=pd_sbs_107_4/139-8275970-6741361?_encoding=UTF8&pd_rd_i=B07RV5RJ2Q&pd_rd_r=92795040-b345-4125-a017-cde0504d81ba&pd_rd_w=jOFFw&pd_rd_wg=Ju1oY&pf_rd_p=80c6065d-57d3-41bf-b15e-ee01dd80424f&pf_rd_r=TS0TG1PDW4J9P183BJ58&psc=1&refRID=TS0TG1PDW4J9P183BJ58
37,http://www.amazon.com.br/Celular-Redmi-Note-128GB-Neptune/dp/B07Q6ZZ4S1/ref=pd_sbs_107_5/139-8275970-6741361?_encoding=UTF8&pd_rd_i=B07Q6ZZ4S1&pd_rd_r=92795040-b345-4125-a017-cde0504d81ba&pd_rd_w=jOFFw&pd_rd_wg=Ju1oY&pf_rd_p=80c6065d-57d3-41bf-b15e-ee01dd80424f&pf_rd_r=TS0TG1PDW4J9P183BJ58&psc=1&refRID=TS0TG1PDW4J9P183BJ58
38,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-Preto/dp/B07RWZ4JKP/ref=pd_sbs_107_6/139-8275970-6741361?_encoding=UTF8&pd_rd_i=B07RWZ4JKP&pd_rd_r=92795040-b345-4125-a017-cde0504d81ba&pd_rd_w=jOFFw&pd_rd_wg=Ju1oY&pf_rd_p=80c6065d-57d3-41bf-b15e-ee01dd80424f&pf_rd_r=TS0TG1PDW4J9P183BJ58&psc=1&refRID=TS0TG1PDW4J9P183BJ58
39,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Note-64GB/dp/B07Q8Y75XH/ref=pd_cp_107_1/139-8275970-6741361?_encoding=UTF8&pd_rd_i=B07Q8Y75XH&pd_rd_r=92795040-b345-4125-a017-cde0504d81ba&pd_rd_w=q7ADT&pd_rd_wg=Ju1oY&pf_rd_p=77453d05-f992-4c68-90bd-4bd32fc86a60&pf_rd_r=TS0TG1PDW4J9P183BJ58&psc=1&refRID=TS0TG1PDW4J9P183BJ58
40,http://www.amazon.com.br/Smartphone-Xiaomi-Redmi-Camera-Dupla/dp/B07RV5RJ2Q/ref=pd_cp_107_4/139-8275970-6741361?_encoding=UTF8&pd_rd_i=B07RV5RJ2Q&pd_rd_r=92795040-b345-4125-a017-cde0504d81ba&pd_rd_w=q7ADT&pd_rd_wg=Ju1oY&pf_rd_p=77453d05-f992-4c68-90bd-4bd32fc86a60&pf_rd_r=TS0TG1PDW4J9P183BJ58&psc=1&refRID=TS0TG1PDW4J9P183BJ58
41,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_0?ie=UTF8&filterByKeyword=custo+benef%C3%ADcio&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
42,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_1?ie=UTF8&filterByKeyword=redmi+note&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
43,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_2?ie=UTF8&filterByKeyword=antes+do+prazo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
44,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_3?ie=UTF8&filterByKeyword=bateria+dura&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
45,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_4?ie=UTF8&filterByKeyword=bem+embalado&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
46,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_5?ie=UTF8&filterByKeyword=melhor+custo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
47,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_6?ie=UTF8&filterByKeyword=vale+a+pena&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
48,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_7?ie=UTF8&filterByKeyword=custo+beneficio&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
49,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_8?ie=UTF8&filterByKeyword=chegou+antes&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
50,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_9?ie=UTF8&filterByKeyword=%C3%B3timo+custo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
51,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_10?ie=UTF8&filterByKeyword=entrega+r%C3%A1pida&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
52,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_11?ie=UTF8&filterByKeyword=super+r%C3%A1pido&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
53,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_12?ie=UTF8&filterByKeyword=c%C3%A2mera+muito+boa&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
54,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_13?ie=UTF8&filterByKeyword=dura+o+dia&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
55,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_14?ie=UTF8&filterByKeyword=superou+minhas+expectativas&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
56,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_15?ie=UTF8&filterByKeyword=fone+de+ouvido&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
57,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_16?ie=UTF8&filterByKeyword=dura%C3%A7%C3%A3o+da+bateria&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
58,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_17?ie=UTF8&filterByKeyword=super+recomendo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
59,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_18?ie=UTF8&filterByKeyword=%C3%B3timo+celular&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
60,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_lh_19?ie=UTF8&filterByKeyword=ponto+negativo&pageNumber=1&reviewerType=all_reviews#reviews-filter-bar
61,http://www.amazon.com.br/Celular-Xiaomi-Redmi-Versão-Global/product-reviews/B07PB8TYCJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
