id,links
0,http://www.amazon.com.br/gp/site-directory?ref=navm_em_js_disabled
1,http://www.amazon.com.br/ref=nav_logo
2,http://www.amazon.com.br/prime?ref_=nav_logo_prime_join
3,https://www.amazon.com.br/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com.br%2F%3Fref_%3Dnav_ya_signin%26_encoding%3DUTF8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=brflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&
4,http://www.amazon.com.br/gp/css/order-history?ref_=nav_orders_first
5,http://www.amazon.com.br/prime?ref_=nav_prime_try_btn
6,http://www.amazon.com.br/gp/bestsellers/?ref_=nav_cs_bestsellers
7,http://www.amazon.com.br/gp/most-wished-for/?ref_=nav_cs_mostwishedfor
8,http://www.amazon.com.br/gp/new-releases/ref=zg_bs_tab/?ref_=nav_cs_newreleases
9,http://www.amazon.com.br/gp/goldbox/?ref_=nav_cs_gb
10,http://www.amazon.com.br/gp/help/customer/display.html?nodeId=508510&ref_=nav_cs_help
11,https://services.amazon.com.br/venda-na-amazon.htm
12,http://www.amazon.com.br/access
13,http://www.amazon.com.br/#
14,http://www.amazon.com.br/prime?pf_rd_p=2c9ab107-f40d-4946-b986-170cecb0aebe&pf_rd_r=VXMHXGQ3PE60471VB492
15,http://www.amazon.com.br/b/?node=17882357011&pf_rd_p=13077a9b-e5a5-47b7-a26a-48374c0b1d99&pf_rd_r=VXMHXGQ3PE60471VB492
16,http://www.amazon.com.br/b/?node=16957239011&pf_rd_p=13077a9b-e5a5-47b7-a26a-48374c0b1d99&pf_rd_r=VXMHXGQ3PE60471VB492
17,http://www.amazon.com.br/b/?node=17882365011&pf_rd_p=13077a9b-e5a5-47b7-a26a-48374c0b1d99&pf_rd_r=VXMHXGQ3PE60471VB492
18,http://www.amazon.com.br/b/?node=16243809011&pf_rd_p=13077a9b-e5a5-47b7-a26a-48374c0b1d99&pf_rd_r=VXMHXGQ3PE60471VB492
19,http://www.amazon.com.br/gp/site-directory?pf_rd_p=13077a9b-e5a5-47b7-a26a-48374c0b1d99&pf_rd_r=VXMHXGQ3PE60471VB492
20,http://www.amazon.com.br/gp/video/ssoredirect/?pvp=%2F%3Fref%3Ddvm_crs_gat_br_ra_s_gw_dashcard_marta&pf_rd_p=bd68897d-176b-4f08-98d8-48593868998e&pf_rd_r=VXMHXGQ3PE60471VB492
21,"http://www.amazon.com.br/gp/goldbox/ref=gbps_ftr_s-5_6c9d_prm_ISPM?pf_rd_p=494ab0c0-8956-44e0-ba78-4cee02d16c9d&pf_rd_r=JZ4W5DFS82M88BXFRTKZ&gb_f_c2xvdC01=dealStates:AVAILABLE%252CWAITLIST%252CWAITLISTFULL%252CUPCOMING%252CEXPIRED%252CSOLDOUT,sortOrder:BY_SCORE,primeEligibleOnly:true&pf_rd_s=slot-5&pf_rd_t=701&pf_rd_i=gb_main&pf_rd_m=A1ZZFT5FULY4LN&ie=UTF8&pf_rd_p=9a3a5a77-8597-434b-be45-324a3f53233d&pf_rd_r=VXMHXGQ3PE60471VB492"
22,http://www.amazon.com.br/b?node=19599300011&pf_rd_p=0c6092a4-d17b-46a9-b046-fede97a0d3e7&pf_rd_r=VXMHXGQ3PE60471VB492
23,http://www.amazon.com.br/prime/ref=nav_tooltip_redirect/145-0965649-3168507
24,http://www.amazon.com.br/prime?pf_rd_p=585b2edf-5872-4a90-ac93-d0585f673c34&pf_rd_r=VXMHXGQ3PE60471VB492
25,http://www.amazon.com.br/b/?ie=UTF8&node=19427888011&pf_rd_p=585b2edf-5872-4a90-ac93-d0585f673c34&pf_rd_r=VXMHXGQ3PE60471VB492
26,http://www.amazon.com.br/gp/video/ssoredirect/?pvp=%2F%3Fref%3Ddvm_crs_gat_br_ra_s_prime_bubble&pf_rd_p=585b2edf-5872-4a90-ac93-d0585f673c34&pf_rd_r=VXMHXGQ3PE60471VB492
27,http://www.amazon.com.br/primereading?pf_rd_p=585b2edf-5872-4a90-ac93-d0585f673c34&pf_rd_r=VXMHXGQ3PE60471VB492
28,http://www.amazon.com.br/gp/goldbox/?pf_rd_p=585b2edf-5872-4a90-ac93-d0585f673c34&pf_rd_r=VXMHXGQ3PE60471VB492
29,https://www.amazon.com.br:443/gp/redirect.html/ref=br_msw_smr/145-0965649-3168507?location=https://www.amazon.com.br/gp/goldbox&token=22DB8852E1E4A9924CA9B88882AEB5D19E8A06D8&source=standards&pf_rd_m=A1ZZFT5FULY4LN&pf_rd_s=&pf_rd_r=VXMHXGQ3PE60471VB492&pf_rd_t=36701&pf_rd_p=9503ad79-5409-434f-b523-7df5c81726f9&pf_rd_i=desktop
30,http://www.amazon.com.br/Sand%C3%A1lias-Baby-Pets-Havaianas-Marfim/dp/B07DRQS2SQ/ref=br_msw_pdt-1/145-0965649-3168507?_encoding=UTF8&smid=A1ZZFT5FULY4LN&pf_rd_m=A1ZZFT5FULY4LN&pf_rd_s=&pf_rd_r=VXMHXGQ3PE60471VB492&pf_rd_t=36701&pf_rd_p=9503ad79-5409-434f-b523-7df5c81726f9&pf_rd_i=desktop
31,http://www.amazon.com.br/Capital-economia-pol%C3%ADtica-processo-produ%C3%A7%C3%A3o-ebook/dp/B017DXY9TE/ref=br_msw_pdt-2/145-0965649-3168507?_encoding=UTF8&smid=A18CNA8NWQSYHH&pf_rd_m=A1ZZFT5FULY4LN&pf_rd_s=&pf_rd_r=VXMHXGQ3PE60471VB492&pf_rd_t=36701&pf_rd_p=9503ad79-5409-434f-b523-7df5c81726f9&pf_rd_i=desktop
32,http://www.amazon.com.br/Espelho-Parede-Retangular-Safira-94x44cm/dp/B07KJGY3Q8/ref=br_msw_pdt-3/145-0965649-3168507?_encoding=UTF8&smid=A39AVMD7PZKXGV&pf_rd_m=A1ZZFT5FULY4LN&pf_rd_s=&pf_rd_r=VXMHXGQ3PE60471VB492&pf_rd_t=36701&pf_rd_p=9503ad79-5409-434f-b523-7df5c81726f9&pf_rd_i=desktop
